"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1709","Should Create And Validate Multiple Predefined Categories","CATEGORY FUNCTIONALITY","Tue Feb 11 06:51:29 GMT 2025","passed","Tue Feb 11 06:51:30 GMT 2025","CATEGORY FUNCTIONALITY","Categories","",""
"","2473","Should Add And Remove Note From Favorites","NOTE MANAGEMENT","Tue Feb 11 06:52:19 GMT 2025","passed","Tue Feb 11 06:52:22 GMT 2025","NOTE MANAGEMENT","Notes","",""
"","1290","Should Delete An Existing Category","CATEGORY FUNCTIONALITY","Tue Feb 11 06:51:33 GMT 2025","passed","Tue Feb 11 06:51:35 GMT 2025","CATEGORY FUNCTIONALITY","Categories","",""
"","3866","Should Move Multiple Notes To Trash And Empty It","NOTE MANAGEMENT","Tue Feb 11 06:52:25 GMT 2025","passed","Tue Feb 11 06:52:29 GMT 2025","NOTE MANAGEMENT","Notes","",""
"","16232","Should Preview Complex Markdown File","EDITOR MARKDOWN FEATURES","Tue Feb 11 06:51:53 GMT 2025","passed","Tue Feb 11 06:52:09 GMT 2025","EDITOR MARKDOWN FEATURES","Editor","",""
"","2034","Should Copy Note Reference To Clipboard","NOTE BASIC OPERATIONS","Tue Feb 11 06:52:14 GMT 2025","passed","Tue Feb 11 06:52:16 GMT 2025","NOTE BASIC OPERATIONS","Notes","",""
"","2844","Should Create Category And Move Note Using Drag And Drop","NAVIGATION AND DRAG-DROP FUNCTIONALITY","Tue Feb 11 06:52:09 GMT 2025","passed","Tue Feb 11 06:52:12 GMT 2025","NAVIGATION AND DRAG-DROP FUNCTIONALITY","Navigation","",""
"","2997","Should Paste Note Reference Into Content","NOTE BASIC OPERATIONS","Tue Feb 11 06:52:16 GMT 2025","passed","Tue Feb 11 06:52:19 GMT 2025","NOTE BASIC OPERATIONS","Notes","",""
"","4930","Should Create And Preview Markdown Note","EDITOR MARKDOWN FEATURES","Tue Feb 11 06:51:48 GMT 2025","passed","Tue Feb 11 06:51:53 GMT 2025","EDITOR MARKDOWN FEATURES","Editor","",""
"","3187","Should Move A Note To A Specific Category","CATEGORY FUNCTIONALITY","Tue Feb 11 06:51:30 GMT 2025","passed","Tue Feb 11 06:51:33 GMT 2025","CATEGORY FUNCTIONALITY","Categories","",""
"","2359","Should Move Note Using Drag And Drop To Trash And Delete It Permanently","NAVIGATION AND DRAG-DROP FUNCTIONALITY","Tue Feb 11 06:52:12 GMT 2025","passed","Tue Feb 11 06:52:14 GMT 2025","NAVIGATION AND DRAG-DROP FUNCTIONALITY","Navigation","",""
"","7568","Should Search Notes And Validate Results Count","EDITOR BASIC OPERATIONS","Tue Feb 11 06:51:40 GMT 2025","passed","Tue Feb 11 06:51:48 GMT 2025","EDITOR BASIC OPERATIONS","Editor","",""
"","3864","Should Create And Validate A New Category With Random Name","CATEGORY FUNCTIONALITY","Tue Feb 11 06:51:17 GMT 2025","passed","Tue Feb 11 06:51:20 GMT 2025","CATEGORY FUNCTIONALITY","Categories","",""
"","1428","Should Sync Preview Mode State Between Footer And Settings","SETTINGS FUNCTIONALITY","Tue Feb 11 06:52:31 GMT 2025","passed","Tue Feb 11 06:52:32 GMT 2025","SETTINGS FUNCTIONALITY","Settings","",""
"","1001","Should Toggle Dark Mode From Footer","SETTINGS FUNCTIONALITY","Tue Feb 11 06:52:29 GMT 2025","passed","Tue Feb 11 06:52:30 GMT 2025","SETTINGS FUNCTIONALITY","Settings","",""
"","5746","Should Create And Validate Plain Text Note","EDITOR BASIC OPERATIONS","Tue Feb 11 06:51:35 GMT 2025","passed","Tue Feb 11 06:51:40 GMT 2025","EDITOR BASIC OPERATIONS","Editor","",""
"","3315","Should Create And Persist Notes And Categories In Both Online And Offline Modes","STORAGE FUNCTIONALITY","Tue Feb 11 06:52:32 GMT 2025","passed","Tue Feb 11 06:52:36 GMT 2025","STORAGE FUNCTIONALITY","Storage","",""
"","2923","Should Move Note To Trash And Restore It","NOTE MANAGEMENT","Tue Feb 11 06:52:22 GMT 2025","passed","Tue Feb 11 06:52:25 GMT 2025","NOTE MANAGEMENT","Notes","",""
"","0","Should Navigate To Source Note By Clicking Reference","Chrome","Tue Feb 11 06:52:19 GMT 2025","skipped","Tue Feb 11 06:52:19 GMT 2025","NOTE BASIC OPERATIONS","e2e/test-note-basic-operations.spec.ts","",""
"","1133","Should Toggle Dark Mode From Settings","SETTINGS FUNCTIONALITY","Tue Feb 11 06:52:30 GMT 2025","passed","Tue Feb 11 06:52:31 GMT 2025","SETTINGS FUNCTIONALITY","Settings","",""
